id,bounding_box
person:0.5654,[ 25 537  64 121]
person:0.5479,[106   0  21  26]
person:0.5458,[197   0  18  11]
person:0.9968,[505 272  40 133]
person:0.9951,[973 213  41 109]
person:0.9947,[761 322  42  96]
person:0.9905,[934 473  74 114]
person:0.9892,[1195  104   40   77]
person:0.9858,[166 297  52 110]
person:0.9810,[61 86 36 82]
person:0.9798,[614 118  43  92]
person:0.9748,[533  49  29  77]
person:0.9732,[384 188  35  85]
person:0.9717,[447 415  52 116]
person:0.9717,[978 326  54  98]
person:0.9649,[471 148  36  94]
person:0.9612,[729  33  27  67]
person:0.9569,[243  11  33  73]
person:0.9562,[147  23  31  73]
person:0.9452,[565  47  31  77]
person:0.9438,[763 611  69 101]
person:0.9436,[1057   13   25   67]
person:0.9393,[481   2  35  59]
person:0.9376,[1128  105   42   85]
person:0.9370,[778  94  31  82]
person:0.9364,[803  76  33  90]
person:0.9319,[1235  445   43  129]
person:0.9256,[1080   11   29   68]
person:0.9137,[240 337  62 107]
person:0.8854,[658  68  33  97]
person:0.8701,[1118    9   35   76]
person:0.8603,[599  53  26  77]
person:0.8576,[305 334  37  92]
person:0.8564,[605   0  27  52]
person:0.8165,[380 138  34  68]
person:0.8058,[1152   56   40   68]
person:0.7706,[106  -1  22  26]
person:0.6542,[865   2  31  66]
person:0.5903,[ 26 538  64 120]
person:0.5623,[1211    0   25   33]
person:0.5410,[197   0  17  11]
person:0.9971,[506 274  39 125]
person:0.9957,[761 317  42  98]
person:0.9951,[974 216  41 111]
person:0.9894,[933 474  73 113]
person:0.9875,[1195  105   41   76]
person:0.9838,[979 326  55 102]
person:0.9808,[533  49  28  77]
person:0.9808,[165 298  55 115]
person:0.9786,[61 86 36 82]
person:0.9769,[475 146  38  89]
person:0.9748,[617 121  36  93]
person:0.9746,[449 406  49 122]
person:0.9711,[384 188  35  84]
person:0.9701,[763 607  68 106]
person:0.9668,[804  76  32  89]
person:0.9605,[482   1  33  57]
person:0.9603,[148  20  32  76]
person:0.9591,[728  33  27  67]
person:0.9564,[246  12  32  70]
person:0.9540,[1058   13   25   68]
person:0.9515,[779  94  30  80]
person:0.9488,[565  47  32  77]
person:0.9348,[1235  446   44  123]
person:0.9127,[1081   12   29   68]
person:0.8876,[242 337  61 106]
person:0.8723,[1117    9   37   79]
person:0.8694,[606   0  26  53]
person:0.8628,[659  70  32  95]
person:0.8606,[599  54  25  76]
person:0.8441,[306 335  37  89]
person:0.7924,[108  -1  20  27]
person:0.7714,[381 139  34  69]
person:0.7423,[1130  104   41   86]
person:0.6820,[1152   57   40   67]
person:0.6489,[866   2  30  66]
person:0.5521,[1210   -1   27   28]
person:0.5343,[197   0  18  11]
person:0.9928,[507 279  35 111]
person:0.9915,[761 599  69 118]
person:0.9905,[452 403  48 124]
person:0.9879,[930 475  72 112]
person:0.9875,[980 326  56 102]
person:0.9868,[762 317  40  89]
person:0.9867,[1196  105   41   77]
person:0.9855,[972 222  49 104]
person:0.9795,[151  19  34  77]
person:0.9794,[162 306  60 115]
person:0.9780,[616 123  36  88]
person:0.9779,[477 147  34  85]
person:0.9760,[533  48  27  77]
person:0.9758,[61 85 36 82]
person:0.9716,[779  88  31  82]
person:0.9715,[804  74  34  93]
person:0.9697,[384 188  35  85]
person:0.9693,[482   0  32  59]
person:0.9591,[1233  444   45  119]
person:0.9510,[248  12  30  71]
person:0.9483,[729  34  27  67]
person:0.9385,[1058   13   26   68]
person:0.9311,[565  43  33  73]
person:0.9235,[1082   11   29   70]
person:0.8844,[1135   59   51  144]
person:0.8725,[659  71  33  94]
person:0.8636,[248 340  62 102]
person:0.8605,[306 337  37  86]
person:0.8453,[1118    9   37   80]
person:0.8082,[603  55  27  72]
person:0.7907,[109  -1  21  24]
person:0.7446,[382 140  34  67]
person:0.7180,[606  -2  26  55]
person:0.6978,[866   2  30  64]
bird:0.6486,[ 26 541  74 117]
person:0.5425,[1211   -1   26   28]
person:0.9925,[454 401  48 124]
person:0.9913,[761 596  66 122]
person:0.9904,[1196  104   43   79]
person:0.9903,[934 475  65 112]
person:0.9900,[983 326  55 109]
person:0.9878,[506 277  37 105]
person:0.9861,[971 223  52 101]
person:0.9824,[476 147  34  84]
person:0.9800,[533  48  27  78]
person:0.9787,[163 307  59 116]
person:0.9778,[761 316  42  83]
person:0.9749,[617 124  35  87]
person:0.9727,[778  86  33  85]
person:0.9671,[61 85 36 82]
person:0.9632,[152  19  36  78]
person:0.9607,[482   0  33  59]
person:0.9601,[804  72  34  97]
person:0.9531,[1234  444   46  118]
person:0.9529,[249  11  29  71]
person:0.9477,[729  36  28  69]
person:0.9461,[384 188  34  86]
person:0.9424,[567  47  32  76]
person:0.9283,[1059   13   25   68]
person:0.9202,[1081   11   29   70]
person:0.9200,[1134   59   50  143]
person:0.9173,[659  72  34  94]
person:0.8848,[249 341  62 101]
person:0.8720,[1119    9   37   82]
person:0.8708,[306 337  36  85]
person:0.8269,[604  56  27  71]
person:0.7535,[383 141  33  67]
person:0.7249,[866   1  29  65]
person:0.6921,[605  -2  26  56]
bird:0.6387,[ 27 542  74 114]
person:0.5709,[224 323  39 106]
person:0.5698,[108   0  22  23]
person:0.5588,[1211   -1   26   28]
person:0.9945,[506 269  36 119]
person:0.9914,[760 593  65 122]
person:0.9908,[933 475  63 111]
person:0.9907,[454 400  48 126]
person:0.9907,[1196  104   42   80]
person:0.9849,[762 316  41  82]
person:0.9844,[984 327  54 113]
person:0.9816,[476 143  34  92]
person:0.9809,[780  87  33  83]
person:0.9788,[970 231  55  96]
person:0.9779,[532  48  28  78]
person:0.9752,[617 126  35  86]
person:0.9725,[163 308  58 116]
person:0.9651,[483   0  30  57]
person:0.9594,[61 85 35 82]
person:0.9584,[804  72  34  97]
person:0.9572,[729  36  28  69]
person:0.9562,[1230  445   49  114]
person:0.9471,[1134   61   51  140]
person:0.9369,[152  19  36  77]
person:0.9286,[385 194  33  86]
person:0.9277,[567  47  32  76]
person:0.9179,[251   9  29  72]
person:0.9172,[1059   13   25   68]
person:0.9139,[659  71  34  95]
person:0.9060,[1081   11   30   69]
person:0.8768,[604  57  26  68]
person:0.8643,[1120    8   37   86]
person:0.8397,[306 336  36  86]
person:0.8141,[248 340  62 103]
person:0.7563,[866   1  30  65]
person:0.6828,[383 141  33  68]
person:0.6398,[109   0  20  21]
bird:0.5870,[ 27 543  75 112]
person:0.5373,[606  -2  25  54]
person:0.5259,[1211   -1   26   27]
person:0.5251,[224 323  40 105]
person:0.9970,[506 268  36 117]
person:0.9909,[930 475  64 110]
person:0.9900,[760 591  63 119]
person:0.9883,[1197  105   41   82]
person:0.9883,[971 233  57  97]
person:0.9881,[454 399  46 125]
person:0.9868,[761 316  42  80]
person:0.9856,[476 141  34  92]
person:0.9824,[617 126  35  86]
person:0.9768,[780  86  33  84]
person:0.9755,[533  47  26  78]
person:0.9643,[728  36  28  68]
person:0.9639,[483   0  31  58]
person:0.9599,[1228  435   48  118]
person:0.9581,[385 194  33  87]
person:0.9575,[804  72  34  95]
person:0.9562,[61 85 35 83]
person:0.9525,[154  21  40  72]
person:0.9523,[163 310  56 116]
person:0.9511,[984 329  54 110]
person:0.9371,[1134   62   52  141]
person:0.9303,[565  45  32  70]
person:0.9172,[1060   13   24   69]
person:0.9076,[604  56  26  70]
person:0.9033,[252   8  28  73]
