id,bounding_box
car:0.8496,[930 393  76  37]
car:0.8369,[562 322  47  24]
car:0.8238,[415 370  50  51]
car:0.8075,[1082  362   85   41]
car:0.7288,[814 339  79  33]
car:0.5709,[375 345  52  36]
car:0.9691,[333 410  65  54]
car:0.9664,[310 521 109  89]
car:0.9545,[512 578 122 130]
car:0.9496,[545 402  62  50]
car:0.9364,[712 421 107  83]
car:0.9269,[475 437  88  77]
car:0.9157,[812 339  75  33]
car:0.9093,[929 393  74  36]
car:0.9026,[1073  360   87   42]
car:0.7906,[414 370  61  52]
car:0.7888,[560 321  45  24]
car:0.9794,[510 584 128 125]
car:0.9759,[546 407  65  48]
car:0.9755,[309 524 111  90]
car:0.9683,[333 411  67  56]
car:0.9487,[714 423 108  84]
car:0.9353,[1063  358   94   42]
car:0.9329,[916 390  79  37]
car:0.9290,[414 371  64  52]
car:0.9249,[474 437  91  78]
car:0.9154,[808 339  74  32]
car:0.7393,[554 318  45  22]
car:0.7017,[739 649 181  66]
car:0.5828,[378 345  51  37]
car:0.5174,[490 294  45  15]
car:0.9777,[509 588 130 124]
car:0.9760,[549 407  63  50]
car:0.9713,[474 437  91  81]
car:0.9655,[306 540 109  96]
car:0.9556,[724 434 106  79]
car:0.9374,[910 389  77  37]
car:0.9216,[333 411  66  57]
car:0.9142,[1056  357   88   43]
car:0.8738,[806 338  73  31]
car:0.8355,[747 657 198  58]
car:0.7799,[418 373  59  47]
car:0.7750,[553 318  45  22]
car:0.6126,[487 294  44  15]
car:0.5401,[379 346  51  36]
car:0.9851,[301 539 117  99]
car:0.9787,[552 408  63  51]
car:0.9742,[474 439  93  85]
car:0.9691,[507 593 137 120]
car:0.9611,[724 434 110  87]
car:0.9407,[338 416  66  59]
car:0.9235,[1049  358   89   40]
car:0.9183,[905 388  75  36]
car:0.8685,[421 381  60  46]
car:0.7674,[550 318  43  22]
car:0.7157,[812 339  60  29]
car:0.7112,[487 291  44  18]
car:0.9897,[297 540 122 105]
car:0.9829,[336 418  69  59]
car:0.9786,[506 597 137 115]
car:0.9666,[727 437 106  87]
car:0.9623,[556 411  62  51]
car:0.9461,[477 439  88  87]
car:0.9279,[904 388  74  34]
car:0.9246,[424 383  59  44]
car:0.9208,[1042  356   88   40]
car:0.8761,[785 337  79  31]
car:0.7697,[546 318  45  23]
car:0.5958,[485 294  38  14]
car:0.5641,[400 334  55  36]
car:0.5140,[779 682 147  37]
car:0.9914,[291 539 129 110]
car:0.9864,[337 419  67  58]
car:0.9808,[730 438 100  88]
car:0.9700,[476 441  92  88]
car:0.9612,[502 602 152 104]
car:0.9479,[425 385  58  42]
car:0.9393,[558 412  69  51]
car:0.9346,[1036  356   82   41]
car:0.9256,[784 337  73  30]
car:0.9017,[895 385  73  36]
car:0.8516,[535 318  52  20]
car:0.6645,[402 334  54  35]
car:0.5401,[379 347  49  39]
car:0.5164,[483 293  34  13]
car:0.9947,[288 540 132 111]
car:0.9764,[338 420  67  59]
car:0.9645,[506 610 148  94]
car:0.9621,[560 414  67  52]
car:0.9575,[733 440  95  86]
car:0.9457,[1031  350   85   41]
car:0.9402,[478 443  89  86]
car:0.8993,[890 385  73  36]
car:0.8969,[428 385  58  44]
car:0.8866,[534 318  47  18]
car:0.8233,[792 337  62  29]
car:0.6112,[1176  480  100   46]
car:0.5817,[406 335  52  36]
car:0.5429,[378 347  49  38]
car:0.5149,[482 292  34  13]
car:0.9921,[289 543 129 106]
car:0.9685,[337 422  70  57]
car:0.9515,[426 387  62  42]
car:0.9186,[1025  348   81   42]
car:0.9179,[532 318  46  18]
car:0.9007,[563 415  64  52]
car:0.8930,[884 381  75  37]
car:0.8754,[740 443 110  88]
car:0.8705,[480 444  88  87]
car:0.8622,[502 611 157 101]
car:0.8219,[753 335  94  31]
car:0.7330,[1160  465  118   56]
car:0.6040,[379 347  48  40]
car:0.5824,[408 335  52  35]
car:0.9853,[285 546 134 107]
car:0.9694,[338 424  69  55]
car:0.9483,[883 380  70  36]
car:0.9373,[430 388  56  44]
car:0.9341,[483 447  87  85]
car:0.9285,[1017  345   78   45]
car:0.9250,[568 420  63  53]
car:0.9170,[753 335  88  30]
car:0.8964,[532 317  40  18]
car:0.8493,[749 446 111  89]
car:0.8211,[1159  464  110   55]
person:0.7745,[492 618 171 100]
car:0.6468,[380 348  49  39]
car:0.5992,[409 336  55  35]
car:0.9824,[285 546 131 108]
car:0.9775,[1011  344   81   46]
car:0.9727,[880 380  68  36]
car:0.9723,[430 390  58  43]
car:0.9488,[340 425  67  57]
car:0.9165,[571 423  64  50]
car:0.9045,[1142  465  120   50]
car:0.8796,[752 336  85  29]
car:0.8706,[482 447  88  88]
car:0.8090,[752 448 115  89]
person:0.7912,[493 626 169  89]
car:0.7102,[530 318  36  16]
car:0.5363,[466 293  36  13]
car:0.5078,[380 347  48  42]
car:0.9620,[575 425  66  52]
car:0.9571,[432 390  54  44]
car:0.9558,[1004  342   80   47]
car:0.9549,[341 430  69  60]
car:0.9346,[288 560 127 113]
car:0.9342,[869 379  75  34]
car:0.9101,[1125  449  133   72]
car:0.9100,[487 449  85  88]
car:0.8802,[754 447 119  92]
car:0.8509,[729 334  95  31]
car:0.8132,[527 316  38  18]
car:0.7288,[381 349  50  39]
car:0.7206,[464 292  38  14]
person:0.7067,[498 634 163  82]
car:0.9721,[339 430  71  59]
car:0.9705,[433 389  57  47]
car:0.9616,[281 563 135 115]
car:0.9514,[863 376  75  36]
car:0.9318,[576 426  67  52]
car:0.9219,[999 343  79  45]
car:0.9150,[726 334  99  31]
car:0.9018,[487 450  88  88]
car:0.8984,[759 452 126 102]
car:0.8900,[1127  452  119   53]
person:0.7438,[495 638 167  78]
car:0.6192,[382 349  49  41]
car:0.5189,[463 293  32  14]
car:0.9710,[1119  451  108   51]
car:0.9648,[339 432  71  60]
car:0.9545,[272 565 131 116]
car:0.9426,[992 345  77  40]
car:0.9367,[859 376  74  34]
car:0.9293,[486 461  95  91]
car:0.8949,[764 459 121  97]
car:0.8871,[572 428  79  51]
car:0.8851,[435 394  57  47]
car:0.8310,[725 334  92  30]
car:0.7106,[419 340  58  32]
